protein_a	protein_b	combined_score
ACKR2	AKT1	0.549
ACKR2	AOC3	0.442
ACKR2	APP	0.416
ACKR2	CCL11	0.795
ACKR2	CCL17	0.99
ACKR2	CCL19	0.965
ACKR2	CCL2	0.985
ACKR2	CCL20	0.814
ACKR2	CCL21	0.992
ACKR2	CCL22	0.977
ACKR2	CCL3	0.982
ACKR2	CCL4	0.93
ACKR2	CCL5	0.985
ACKR2	CCR1	0.824
ACKR2	CCR2	0.803
ACKR2	CCR3	0.551
ACKR2	CCR5	0.668
ACKR2	CCR6	0.615
ACKR2	CCR7	0.833
ACKR2	CCR8	0.58
ACKR2	CCR9	0.406
ACKR2	CCRL2	0.697
ACKR2	CD19	0.53
ACKR2	CD2	0.561
ACKR2	CD27	0.507
ACKR2	CD274	0.445
ACKR2	CD28	0.48
ACKR2	CD38	0.618
ACKR2	CD4	0.734
ACKR2	CD40	0.482
ACKR2	CD40LG	0.432
ACKR2	CD44	0.479
ACKR2	CD69	0.572
ACKR2	CD80	0.537
ACKR2	CD86	0.507
ACKR2	CD8A	0.817
ACKR2	CSF2	0.445
ACKR2	CTLA4	0.514
ACKR2	CX3CL1	0.441
ACKR2	CX3CR1	0.438
ACKR2	CXCL1	0.454
ACKR2	CXCL10	0.723
ACKR2	CXCL11	0.672
ACKR2	CXCL12	0.9
ACKR2	CXCL13	0.685
ACKR2	CXCL8	0.675
ACKR2	CXCL9	0.702
ACKR2	CXCR2	0.451
ACKR2	CXCR3	0.518
ACKR2	CXCR4	0.643
ACKR2	CXCR5	0.489
ACKR2	CXCR6	0.418
ACKR2	FCGR3A	0.446
ACKR2	FCGR3B	0.446
ACKR2	FOXP3	0.666
ACKR2	GZMB	0.482
ACKR2	ICAM1	0.416
ACKR2	ICOS	0.483
ACKR2	IDO1	0.406
ACKR2	IFNA1	0.482
ACKR2	IFNB1	0.496
ACKR2	IFNG	0.623
ACKR2	IL10	0.595
ACKR2	IL13	0.506
ACKR2	IL15	0.481
ACKR2	IL17A	0.609
ACKR2	IL18	0.408
ACKR2	IL1B	0.481
ACKR2	IL2	0.567
ACKR2	IL22	0.591
ACKR2	IL2RA	0.536
ACKR2	IL2RB	0.4
ACKR2	IL33	0.4
ACKR2	IL4	0.545
ACKR2	IL5	0.476
ACKR2	IL6	0.527
ACKR2	IL7	0.476
ACKR2	IL7R	0.58
ACKR2	IRF8	0.514
ACKR2	ITGA4	0.647
ACKR2	ITGAE	0.72
ACKR2	ITGAM	0.571
ACKR2	ITGAX	0.583
ACKR2	ITGB1	0.529
ACKR2	KLRB1	0.479
ACKR2	KLRG1	0.435
ACKR2	LAG3	0.428
ACKR2	LCK	0.461
ACKR2	NCAM1	0.612
ACKR2	PRF1	0.418
ACKR2	PTPRC	0.578
ACKR2	RORC	0.442
ACKR2	S1PR1	0.62
ACKR2	SELE	0.642
ACKR2	SELL	0.753
ACKR2	SELP	0.661
ACKR2	TBX21	0.543
ACKR2	TGFB1	0.576
ACKR2	TNF	0.548
ACKR2	VCAM1	0.785
AICDA	ATP5F1A	0.48
AICDA	BCL2	0.491
AICDA	BCL6	0.898
AICDA	BTK	0.493
AICDA	CD19	0.788
AICDA	CD22	0.482
AICDA	CD27	0.728
AICDA	CD38	0.617
AICDA	CD4	0.566
AICDA	CD40	0.805
AICDA	CD40LG	0.853
AICDA	CD5	0.473
AICDA	CD79A	0.514
AICDA	CD79B	0.571
AICDA	CD80	0.429
AICDA	CD86	0.474
AICDA	CD8A	0.447
AICDA	CR2	0.663
AICDA	CXCL13	0.566
AICDA	CXCR4	0.509
AICDA	CXCR5	0.607
AICDA	FAS	0.596
AICDA	ICOS	0.449
AICDA	IFNG	0.437
AICDA	IL10	0.482
AICDA	IL17A	0.405
AICDA	IL21	0.547
AICDA	IL21R	0.5
AICDA	IL4	0.725
AICDA	IL6	0.432
AICDA	IRF4	0.672
AICDA	IRF8	0.483
AICDA	MYD88	0.449
AICDA	POU2AF1	0.603
AICDA	PRDM1	0.78
AICDA	PTPRC	0.538
AICDA	SDC1	0.588
AICDA	SPN	0.524
AICDA	STAT6	0.402
AICDA	TBX21	0.422
AICDA	TLR7	0.484
AICDA	TLR9	0.502
AICDA	TNF	0.442
AICDA	TNFRSF13B	0.611
AICDA	TNFSF13B	0.653
AIF1	AKT1	0.51
AIF1	ALB	0.729
AIF1	APOE	0.594
AIF1	APP	0.77
AIF1	BCL2	0.467
AIF1	BDNF	0.72
AIF1	BTK	0.431
AIF1	C1QA	0.847
AIF1	C3	0.416
AIF1	CASP1	0.67
AIF1	CASP3	0.698
AIF1	CCL2	0.698
AIF1	CCL3	0.554
AIF1	CCL4	0.65
AIF1	CCL5	0.563
AIF1	CCR1	0.69
AIF1	CCR2	0.648
AIF1	CCR3	0.454
AIF1	CCR5	0.464
AIF1	CCR8	0.4
AIF1	CD163	0.735
AIF1	CD33	0.498
AIF1	CD36	0.416
AIF1	CD4	0.631
AIF1	CD52	0.521
AIF1	CD68	0.871
AIF1	CD69	0.553
AIF1	CD86	0.818
AIF1	CD8A	0.532
AIF1	CLDN5	0.582
AIF1	CNP	0.677
AIF1	CSF1	0.574
AIF1	CSF1R	0.857
AIF1	CSF2	0.436
AIF1	CSPG4	0.542
AIF1	CX3CL1	0.633
AIF1	CX3CR1	0.804
AIF1	CXCL1	0.449
AIF1	CXCL10	0.537
AIF1	CXCL9	0.403
AIF1	CXCR4	0.431
AIF1	CYBB	0.744
AIF1	FCGR1A	0.574
AIF1	FCGR2A	0.635
AIF1	FCGR2B	0.601
AIF1	FCGR3A	0.717
AIF1	FCGR3B	0.681
AIF1	FGF2	0.48
AIF1	FOXP3	0.523
AIF1	GFAP	0.913
AIF1	HMOX1	0.528
AIF1	ICAM1	0.478
AIF1	IFNG	0.626
AIF1	IL10	0.705
AIF1	IL10RA	0.451
AIF1	IL13	0.424
AIF1	IL17A	0.455
AIF1	IL18	0.52
AIF1	IL1A	0.558
AIF1	IL1B	0.851
AIF1	IL1R1	0.404
AIF1	IL2	0.402
AIF1	IL4	0.589
AIF1	IL6	0.777
AIF1	IRF8	0.539
AIF1	ITGAM	0.843
AIF1	ITGAX	0.611
AIF1	ITGB2	0.72
AIF1	LTA	0.466
AIF1	MBP	0.782
AIF1	MMP9	0.535
AIF1	MOG	0.604
AIF1	MPO	0.541
AIF1	MRC1	0.758
AIF1	MYD88	0.471
AIF1	NEFH	0.565
AIF1	NEFL	0.516
AIF1	NFKB1	0.805
AIF1	NLRP3	0.561
AIF1	NOS2	0.501
AIF1	NTRK2	0.454
AIF1	OCLN	0.486
AIF1	OLIG1	0.455
AIF1	OLIG2	0.771
AIF1	PDGFRA	0.49
AIF1	PECAM1	0.724
AIF1	PLP1	0.448
AIF1	PTGS2	0.59
AIF1	PTPRC	0.813
AIF1	PXDNL	0.738
AIF1	SOD1	0.587
AIF1	STAT3	0.453
AIF1	TGFB1	0.485
AIF1	THY1	0.455
AIF1	TJP1	0.479
AIF1	TLR2	0.627
AIF1	TLR4	0.722
AIF1	TLR7	0.42
AIF1	TNF	0.846
AIF1	TREM2	0.752
AIF1	TYROBP	0.943
AIF1	VWF	0.428
AKT1	ALB	0.795
AKT1	ANGPT2	0.653
AKT1	APOE	0.697
AKT1	APP	0.665
AKT1	BAX	0.761
AKT1	BCL2	0.993
AKT1	BCL6	0.522
AKT1	BDNF	0.835
AKT1	BTK	0.61
AKT1	CASP1	0.617
AKT1	CASP3	0.945
AKT1	CCL2	0.72
AKT1	CCL20	0.443
AKT1	CCL21	0.405
AKT1	CCL3	0.677
AKT1	CCL4	0.451
AKT1	CCL5	0.725
AKT1	CCR2	0.514
AKT1	CCR5	0.48
AKT1	CCR7	0.48
AKT1	CD163	0.458
AKT1	CD19	0.675
AKT1	CD27	0.418
AKT1	CD274	0.72
AKT1	CD276	0.483
AKT1	CD28	0.802
AKT1	CD33	0.4
AKT1	CD34	0.661
AKT1	CD36	0.596
AKT1	CD38	0.656
AKT1	CD4	0.839
AKT1	CD40	0.597
AKT1	CD40LG	0.504
AKT1	CD44	0.777
AKT1	CD68	0.537
AKT1	CD69	0.447
AKT1	CD79A	0.4
AKT1	CD80	0.777
AKT1	CD86	0.783
AKT1	CD8A	0.811
AKT1	CLDN5	0.448
AKT1	CRP	0.53
AKT1	CSF1	0.584
AKT1	CSF1R	0.604
AKT1	CSF2	0.608
AKT1	CSF3	0.543
AKT1	CTLA4	0.811
AKT1	CX3CL1	0.451
AKT1	CX3CR1	0.414
AKT1	CXCL1	0.577
AKT1	CXCL10	0.54
AKT1	CXCL11	0.404
AKT1	CXCL12	0.722
AKT1	CXCL13	0.4
AKT1	CXCL2	0.41
AKT1	CXCL8	0.72
AKT1	CXCL9	0.418
AKT1	CXCR2	0.562
AKT1	CXCR3	0.43
AKT1	CXCR4	0.75
AKT1	CYBB	0.994
AKT1	FAS	0.532
AKT1	FASLG	0.667
AKT1	FCGR1A	0.505
AKT1	FCGR2B	0.401
AKT1	FCGR3A	0.474
AKT1	FCGR3B	0.447
AKT1	FGF2	0.926
AKT1	FOXP3	0.623
AKT1	GFAP	0.623
AKT1	GPX5	0.635
AKT1	GPX6	0.635
AKT1	GRIA1	0.48
AKT1	GSR	0.542
AKT1	GZMB	0.512
AKT1	HAVCR2	0.495
AKT1	HIF1A	0.932
AKT1	HMGCR	0.643
AKT1	HMOX1	0.796
AKT1	ICAM1	0.704
AKT1	ICOS	0.42
AKT1	IDO1	0.512
AKT1	IDO2	0.418
AKT1	IFNA1	0.579
AKT1	IFNA2	0.404
AKT1	IFNB1	0.713
AKT1	IFNG	0.817
AKT1	IL10	0.731
AKT1	IL12RB1	0.501
AKT1	IL13	0.58
AKT1	IL15	0.507
AKT1	IL17A	0.623
AKT1	IL18	0.581
AKT1	IL1A	0.666
AKT1	IL1B	0.864
AKT1	IL1R1	0.46
AKT1	IL2	0.692
AKT1	IL22	0.446
AKT1	IL2RA	0.405
AKT1	IL3	0.692
AKT1	IL33	0.43
AKT1	IL4	0.699
AKT1	IL5	0.449
AKT1	IL6	0.872
AKT1	IL6R	0.505
AKT1	IL7	0.525
AKT1	IL7R	0.465
AKT1	IRF4	0.681
AKT1	ITGA4	0.579
AKT1	ITGAM	0.611
AKT1	ITGAX	0.472
AKT1	ITGB1	0.728
AKT1	ITGB2	0.456
AKT1	KLRK1	0.444
AKT1	LAG3	0.458
AKT1	LCK	0.799
AKT1	MBP	0.456
AKT1	MMP9	0.827
AKT1	MPO	0.546
AKT1	MRC1	0.482
AKT1	MTOR	0.999
AKT1	MYD88	0.823
AKT1	NCAM1	0.46
AKT1	NFE2L2	0.923
AKT1	NFKB1	0.896
AKT1	NLRP3	0.569
AKT1	NOS2	0.976
AKT1	NOTCH1	0.887
AKT1	NQO1	0.706
AKT1	OCLN	0.601
AKT1	OLIG2	0.4
AKT1	PDCD1	0.587
AKT1	PDCD1LG2	0.507
AKT1	PDGFRA	0.486
AKT1	PECAM1	0.719
AKT1	PPARGC1A	0.756
AKT1	PRDM1	0.42
AKT1	PRF1	0.469
AKT1	PTGS2	0.775
AKT1	PTPRC	0.676
AKT1	PXDNL	0.875
AKT1	S1PR1	0.561
AKT1	S1PR5	0.403
AKT1	SCARB1	0.613
AKT1	SDC1	0.702
AKT1	SELE	0.538
AKT1	SELL	0.681
AKT1	SELP	0.519
AKT1	SIRT1	0.873
AKT1	SLC2A1	0.708
AKT1	SOD1	0.568
AKT1	SOD2	0.631
AKT1	SOX10	0.41
AKT1	STAT1	0.961
AKT1	STAT3	0.966
AKT1	STAT4	0.421
AKT1	STAT6	0.823
AKT1	TBX21	0.47
AKT1	TFAM	0.57
AKT1	TGFB1	0.868
AKT1	THY1	0.517
AKT1	TJP1	0.797
AKT1	TLR2	0.704
AKT1	TLR4	0.769
AKT1	TLR7	0.505
AKT1	TLR9	0.538
AKT1	TNF	0.907
AKT1	TNFRSF1A	0.817
AKT1	TNFRSF4	0.762
AKT1	TNFRSF9	0.418
AKT1	TNFSF13B	0.453
AKT1	TXN	0.765
AKT1	TYROBP	0.755
AKT1	VCAM1	0.678
AKT1	VWF	0.545
ALB	ANGPT2	0.656
ALB	AOC3	0.506
ALB	APOE	0.953
ALB	APP	0.901
ALB	BAX	0.446
ALB	BCL2	0.748
ALB	BDNF	0.684
ALB	C3	0.959
ALB	C5	0.445
ALB	CASP1	0.611
ALB	CASP3	0.815
ALB	CCL11	0.445
ALB	CCL2	0.739
ALB	CCL20	0.4
ALB	CCL3	0.543
ALB	CCL4	0.51
ALB	CCL5	0.598
ALB	CCR2	0.522
ALB	CCR5	0.497
ALB	CCR7	0.497
ALB	CD163	0.597
ALB	CD19	0.684
ALB	CD27	0.469
ALB	CD274	0.586
ALB	CD28	0.542
ALB	CD33	0.418
ALB	CD34	0.746
ALB	CD36	0.64
ALB	CD38	0.554
ALB	CD3E	0.533
ALB	CD4	0.817
ALB	CD40	0.541
ALB	CD40LG	0.557
ALB	CD44	0.739
ALB	CD5	0.469
ALB	CD68	0.727
ALB	CD69	0.504
ALB	CD80	0.595
ALB	CD86	0.736
ALB	CD8A	0.771
ALB	CFH	0.678
ALB	CLDN5	0.613
ALB	CNP	0.41
ALB	CRP	0.928
ALB	CSF1	0.533
ALB	CSF1R	0.435
ALB	CSF2	0.672
ALB	CSF3	0.75
ALB	CTLA4	0.522
ALB	CX3CL1	0.403
ALB	CX3CR1	0.461
ALB	CXCL1	0.518
ALB	CXCL10	0.583
ALB	CXCL12	0.592
ALB	CXCL8	0.782
ALB	CXCL9	0.647
ALB	CXCR4	0.615
ALB	CYBB	0.553
ALB	FAS	0.438
ALB	FASLG	0.476
ALB	FCGR1A	0.475
ALB	FCGR2A	0.6
ALB	FCGR2B	0.601
ALB	FCGR3A	0.852
ALB	FCGR3B	0.824
ALB	FGF2	0.842
ALB	FOXP3	0.677
ALB	GFAP	0.771
ALB	GPX5	0.713
ALB	GPX6	0.713
ALB	GRIA1	0.424
ALB	GSR	0.589
ALB	GZMB	0.479
ALB	HIF1A	0.642
ALB	HMGCR	0.734
ALB	HMOX1	0.683
ALB	ICAM1	0.709
ALB	ID2	0.497
ALB	IDO1	0.453
ALB	IFNA1	0.758
ALB	IFNA2	0.734
ALB	IFNB1	0.572
ALB	IFNG	0.866
ALB	IL10	0.847
ALB	IL13	0.61
ALB	IL15	0.66
ALB	IL17A	0.8
ALB	IL17F	0.56
ALB	IL18	0.63
ALB	IL1A	0.725
ALB	IL1B	0.836
ALB	IL2	0.718
ALB	IL22	0.436
ALB	IL3	0.591
ALB	IL33	0.438
ALB	IL4	0.725
ALB	IL5	0.619
ALB	IL6	0.926
ALB	IL6R	0.584
ALB	IL7	0.652
ALB	ITGAM	0.727
ALB	ITGAX	0.631
ALB	ITGB1	0.617
ALB	ITGB2	0.684
ALB	LCK	0.417
ALB	MBP	0.649
ALB	MMP9	0.745
ALB	MOG	0.469
ALB	MPO	0.887
ALB	MRC1	0.721
ALB	MTOR	0.628
ALB	MYD88	0.563
ALB	NCAM1	0.591
ALB	NEFH	0.423
ALB	NEFL	0.534
ALB	NFE2L2	0.59
ALB	NFKB1	0.621
ALB	NLRP3	0.481
ALB	NOS2	0.499
ALB	NOTCH1	0.463
ALB	NQO1	0.529
ALB	NTRK2	0.426
ALB	OCLN	0.674
ALB	OLIG2	0.475
ALB	PDCD1	0.475
ALB	PDGFRA	0.496
ALB	PECAM1	0.781
ALB	PLP1	0.607
ALB	PPARGC1A	0.599
ALB	PRF1	0.447
ALB	PTGS2	0.772
ALB	PTPRC	0.773
ALB	PXDNL	0.937
ALB	SCARB1	0.899
ALB	SDC1	0.592
ALB	SELE	0.591
ALB	SELL	0.543
ALB	SELP	0.72
ALB	SIRT1	0.611
ALB	SLC2A1	0.63
ALB	SOD1	0.623
ALB	SOD2	0.521
ALB	SOX10	0.407
ALB	STAT1	0.545
ALB	STAT3	0.694
ALB	TFAM	0.444
ALB	TGFB1	0.784
ALB	THY1	0.699
ALB	TJP1	0.715
ALB	TLR2	0.733
ALB	TLR4	0.821
ALB	TLR7	0.472
ALB	TLR9	0.494
ALB	TNF	0.87
ALB	TNFRSF1A	0.6
ALB	TNFSF13B	0.406
ALB	TXN	0.617
ALB	VCAM1	0.65
ALB	VWF	0.871
ANGPT2	BDNF	0.578
ANGPT2	CCL11	0.511
ANGPT2	CCL2	0.578
ANGPT2	CCL5	0.401
ANGPT2	CD274	0.412
ANGPT2	CD34	0.56
ANGPT2	CLDN5	0.503
ANGPT2	CRP	0.488
ANGPT2	CSF1R	0.806
ANGPT2	CSF2	0.419
ANGPT2	CSF3	0.583
ANGPT2	CXCL10	0.414
ANGPT2	CXCL12	0.602
ANGPT2	CXCL8	0.869
ANGPT2	CXCR4	0.506
ANGPT2	FGF2	0.83
ANGPT2	HIF1A	0.65
ANGPT2	ICAM1	0.6
ANGPT2	IFNG	0.447
ANGPT2	IGHV3-43D	0.905
ANGPT2	IL10	0.485
ANGPT2	IL1B	0.689
ANGPT2	IL6	0.75
ANGPT2	ITGB1	0.796
ANGPT2	ITGB2	0.492
ANGPT2	MMP9	0.629
ANGPT2	NOTCH1	0.402
ANGPT2	NTRK2	0.684
ANGPT2	PDGFRA	0.864
ANGPT2	PECAM1	0.705
ANGPT2	PTGS2	0.462
ANGPT2	SELE	0.598
ANGPT2	SELP	0.849
ANGPT2	TGFB1	0.512
ANGPT2	TNF	0.575
ANGPT2	VCAM1	0.614
ANGPT2	VWF	0.903
AOC3	BCL6	0.417
AOC3	CCL2	0.401
AOC3	CCL21	0.401
AOC3	CCR2	0.457
AOC3	CCR6	0.479
AOC3	CCR7	0.513
AOC3	CCR9	0.418
AOC3	CCRL2	0.478
AOC3	CD19	0.795
AOC3	CD1D	0.522
AOC3	CD27	0.572
AOC3	CD274	0.507
AOC3	CD276	0.412
AOC3	CD28	0.772
AOC3	CD34	0.503
AOC3	CD36	0.463
AOC3	CD3E	0.849
AOC3	CD4	0.877
AOC3	CD40	0.582
AOC3	CD40LG	0.435
AOC3	CD44	0.773
AOC3	CD5	0.648
AOC3	CD69	0.769
AOC3	CD80	0.623
AOC3	CD86	0.666
AOC3	CD8A	0.84
AOC3	CR2	0.545
AOC3	CSF1R	0.521
AOC3	CSF2	0.545
AOC3	CTLA4	0.573
AOC3	CX3CR1	0.4
AOC3	CXCR3	0.54
AOC3	CXCR4	0.408
AOC3	CXCR5	0.57
AOC3	FAS	0.415
AOC3	FCGR1A	0.542
AOC3	FCGR2A	0.725
AOC3	FCGR2B	0.736
AOC3	FCGR3A	0.795
AOC3	FCGR3B	0.794
AOC3	FOXP3	0.783
AOC3	GPR17	0.458
AOC3	GZMB	0.589
AOC3	ICAM1	0.49
AOC3	ICOS	0.58
AOC3	IFNG	0.776
AOC3	IL10	0.609
AOC3	IL13	0.507
AOC3	IL15	0.447
AOC3	IL17A	0.695
AOC3	IL1B	0.516
AOC3	IL2	0.726
AOC3	IL22	0.448
AOC3	IL2RA	0.418
AOC3	IL2RB	0.553
AOC3	IL3	0.408
AOC3	IL4	0.693
AOC3	IL5	0.507
AOC3	IL6	0.603
AOC3	IL7	0.51
AOC3	IL7R	0.697
AOC3	ITGA4	0.416
AOC3	ITGAE	0.647
AOC3	ITGAL	0.837
AOC3	ITGAM	0.854
AOC3	ITGAX	0.841
AOC3	KLRG1	0.642
AOC3	KLRK1	0.447
AOC3	LAG3	0.431
AOC3	LCK	0.583
AOC3	MOG	0.479
AOC3	MRC1	0.457
AOC3	PDCD1	0.445
AOC3	PECAM1	0.57
AOC3	PRF1	0.49
AOC3	PTPRC	0.878
AOC3	PXDNL	0.479
AOC3	RORC	0.404
AOC3	SCARB1	0.425
AOC3	SDC1	0.505
AOC3	SELL	0.791
AOC3	SELP	0.407
AOC3	SPN	0.618
AOC3	TBX21	0.626
AOC3	TGFB1	0.642
AOC3	THY1	0.573
AOC3	TLR4	0.403
AOC3	TNF	0.62
AOC3	TNFRSF18	0.479
AOC3	VCAM1	0.463
APOE	APP	0.999
APOE	BCL2	0.491
APOE	BDNF	0.831
APOE	C1QA	0.546
APOE	C3	0.732
APOE	C5	0.536
APOE	CASP1	0.517
APOE	CASP3	0.614
APOE	CCL2	0.746
APOE	CCL3	0.692
APOE	CCL5	0.693
APOE	CCR2	0.82
APOE	CCR3	0.431
APOE	CCR5	0.783
APOE	CD163	0.493
APOE	CD33	0.813
APOE	CD34	0.447
APOE	CD36	0.795
APOE	CD4	0.701
APOE	CD40	0.44
APOE	CD40LG	0.4
APOE	CD44	0.937
APOE	CD68	0.843
APOE	CD8A	0.51
APOE	CFH	0.958
APOE	CLDN5	0.488
APOE	CRP	0.803
APOE	CSF1	0.495
APOE	CSF1R	0.584
APOE	CSF2	0.513
APOE	CX3CL1	0.641
APOE	CX3CR1	0.764
APOE	CXCL1	0.427
APOE	CXCL10	0.476
APOE	CXCL12	0.5
APOE	CXCL13	0.557
APOE	CXCL2	0.48
APOE	CXCL8	0.683
APOE	CXCR4	0.558
APOE	CYBB	0.594
APOE	FCGR3A	0.436
APOE	FCGR3B	0.421
APOE	FGF2	0.535
APOE	FOXP3	0.471
APOE	GFAP	0.644
APOE	GPX5	0.664
APOE	GPX6	0.663
APOE	HIF1A	0.485
APOE	HLA-DRB1	0.577
APOE	HMGCR	0.806
APOE	HMOX1	0.572
APOE	ICAM1	0.789
APOE	IFNG	0.838
APOE	IL10	0.734
APOE	IL13	0.636
APOE	IL17A	0.686
APOE	IL18	0.549
APOE	IL1A	0.602
APOE	IL1B	0.846
APOE	IL2	0.431
APOE	IL4	0.542
APOE	IL5	0.59
APOE	IL6	0.835
APOE	IL9	0.442
APOE	ITGAM	0.699
APOE	ITGAX	0.529
APOE	ITGB1	0.586
APOE	LDLR	0.839
APOE	MMP9	0.769
APOE	MPO	0.63
APOE	MRC1	0.533
APOE	MTOR	0.447
APOE	MYD88	0.643
APOE	NEFL	0.613
APOE	NFE2L2	0.49
APOE	NFKB1	0.554
APOE	NLRP3	0.505
APOE	NOS2	0.42
APOE	OCLN	0.58
APOE	PECAM1	0.595
APOE	PPARGC1A	0.522
APOE	PTGS2	0.521
APOE	PTPRC	0.58
APOE	PXDNL	0.608
APOE	SCARB1	0.968
APOE	SDC1	0.932
APOE	SELE	0.616
APOE	SELP	0.593
APOE	SIRT1	0.584
APOE	SOD1	0.536
APOE	SOD2	0.448
APOE	STAT1	0.733
APOE	STAT3	0.487
APOE	TGFB1	0.694
APOE	THY1	0.545
APOE	TLR2	0.543
APOE	TLR4	0.777
APOE	TNF	0.806
APOE	TREM2	0.997
APOE	TXN	0.438
APOE	TYROBP	0.652
APOE	VCAM1	0.799
APOE	VWF	0.562
APP	BCL2	0.594
APP	BDNF	0.858
APP	BTK	0.697
APP	C3	0.887
APP	CASP1	0.502
APP	CASP3	0.908
APP	CCL19	0.418
APP	CCL2	0.506
APP	CCL4	0.472
APP	CCR5	0.445
APP	CD33	0.643
APP	CD36	0.635
APP	CD4	0.487
APP	CD44	0.823
APP	CD68	0.533
APP	CLDN5	0.43
APP	CRP	0.68
APP	CSF1R	0.413
APP	CX3CL1	0.457
APP	CX3CR1	0.457
APP	CXCL1	0.457
APP	CXCL8	0.634
APP	CXCR4	0.524
APP	FCGR2B	0.732
APP	FGF2	0.63
APP	GFAP	0.772
APP	GPX5	0.449
APP	GPX6	0.449
APP	GRIA1	0.587
APP	GRIN1	0.776
APP	GZMB	0.55
APP	HIF1A	0.483
APP	HMGCR	0.431
APP	HMOX1	0.512
APP	ICAM1	0.595
APP	IFNA2	0.459
APP	IFNG	0.55
APP	IL10	0.561
APP	IL18	0.416
APP	IL1A	0.507
APP	IL1B	0.828
APP	IL1R1	0.517
APP	IL2	0.588
APP	IL4	0.452
APP	IL6	0.68
APP	ITGAM	0.6
APP	ITGB1	0.761
APP	LDLR	0.58
APP	LINGO1	0.539
APP	MAG	0.491
APP	MBP	0.744
APP	MMP9	0.644
APP	MOG	0.426
APP	MTOR	0.491
APP	NCAM1	0.446
APP	NEFH	0.49
APP	NEFL	0.861
APP	NFE2L2	0.546
APP	NFKB1	0.87
APP	NOTCH1	0.886
APP	NTRK2	0.602
APP	PECAM1	0.402
APP	PLP1	0.571
APP	PPARGC1A	0.493
APP	PTGS2	0.642
APP	PTPRC	0.406
APP	PXDNL	0.658
APP	SCARB1	0.641
APP	SIRT1	0.572
APP	SOD1	0.802
APP	STAT1	0.483
APP	STAT3	0.753
APP	TGFB1	0.895
APP	THY1	0.694
APP	TJP1	0.406
APP	TLR2	0.578
APP	TLR4	0.67
APP	TNF	0.799
APP	TNFRSF1A	0.574
APP	TREM2	0.901
APP	TYROBP	0.507
APP	VCAM1	0.563
ATP5F1A	DHODH	0.454
ATP5F1A	GSR	0.569
ATP5F1A	MTOR	0.433
ATP5F1A	NDUFA1	0.488
ATP5F1A	PPARGC1A	0.437
ATP5F1A	SOD1	0.53
ATP5F1A	SOD2	0.603
ATP5F1A	TFAM	0.525
BAX	BCL2	0.999
BAX	BDNF	0.464
BAX	C5	0.72
BAX	CASP1	0.469
BAX	CASP3	0.884
BAX	CD34	0.766
BAX	FAS	0.64
BAX	FASLG	0.48
BAX	GPX5	0.528
BAX	GPX6	0.523
BAX	HIF1A	0.447
BAX	HMOX1	0.729
BAX	IL1B	0.55
BAX	IL6	0.515
BAX	MMP9	0.448
BAX	MTOR	0.534
BAX	NFE2L2	0.549
BAX	NQO1	0.409
BAX	PTGS2	0.664
BAX	PXDNL	0.578
BAX	SIRT1	0.942
BAX	STAT3	0.47
BAX	TGFB1	0.44
BAX	TNF	0.503
BAX	TNFRSF1A	0.402
BCL2	BCL6	0.906
BCL2	BDNF	0.793
BCL2	BTK	0.665
BCL2	C5	0.742
BCL2	CASP1	0.817
BCL2	CASP3	0.987
BCL2	CCL2	0.607
BCL2	CCL21	0.495
BCL2	CCL3	0.753
BCL2	CCL5	0.46
BCL2	CCR5	0.411
BCL2	CCR7	0.662
BCL2	CD163	0.41
BCL2	CD19	0.681
BCL2	CD1D	0.404
BCL2	CD2	0.467
BCL2	CD22	0.734
BCL2	CD27	0.515
BCL2	CD274	0.59
BCL2	CD28	0.569
BCL2	CD33	0.488
BCL2	CD34	0.945
BCL2	CD36	0.417
BCL2	CD38	0.724
BCL2	CD4	0.837
BCL2	CD40	0.591
BCL2	CD40LG	0.53
BCL2	CD44	0.692
BCL2	CD5	0.847
BCL2	CD68	0.661
BCL2	CD69	0.514
BCL2	CD79A	0.705
BCL2	CD79B	0.583
BCL2	CD80	0.527
BCL2	CD86	0.497
BCL2	CD8A	0.831
BCL2	CR2	0.613
BCL2	CRP	0.431
BCL2	CSF1	0.402
BCL2	CSF2	0.544
BCL2	CSF3	0.513
BCL2	CTLA4	0.554
BCL2	CX3CL1	0.554
BCL2	CXCL1	0.45
BCL2	CXCL10	0.421
BCL2	CXCL12	0.727
BCL2	CXCL13	0.725
BCL2	CXCL8	0.621
BCL2	CXCR4	0.759
BCL2	CXCR5	0.594
BCL2	CYBB	0.706
BCL2	FAS	0.728
BCL2	FASLG	0.811
BCL2	FCGR3A	0.436
BCL2	FCGR3B	0.407
BCL2	FGF2	0.634
BCL2	FOXP3	0.729
BCL2	GFAP	0.538
BCL2	GPX5	0.726
BCL2	GPX6	0.726
BCL2	GSR	0.549
BCL2	GZMB	0.591
BCL2	HAVCR2	0.435
BCL2	HIF1A	0.946
BCL2	HMGCR	0.419
BCL2	HMOX1	0.856
BCL2	ICAM1	0.618
BCL2	ICOS	0.42
BCL2	IDO1	0.418
BCL2	IFNA1	0.529
BCL2	IFNB1	0.482
BCL2	IFNG	0.795
BCL2	IL10	0.718
BCL2	IL13	0.452
BCL2	IL15	0.594
BCL2	IL17A	0.571
BCL2	IL18	0.552
BCL2	IL1A	0.625
BCL2	IL1B	0.808
BCL2	IL2	0.758
