protein_a	protein_b	combined_score
MFN2	TP53	0.435
MFN2	UCP2	0.519
MFN2	VCP	0.807
MFN2	VDAC1	0.989
MFN2	VDAC2	0.714
MFN2	VPS35	0.52
MFN2	XBP1	0.664
MMP9	MPO	0.969
MMP9	MTOR	0.588
MMP9	NFE2L2	0.536
MMP9	NFKB1	0.802
MMP9	NFKBIA	0.704
MMP9	NGF	0.545
MMP9	NLRP3	0.479
MMP9	NOS1	0.577
MMP9	NOX1	0.525
MMP9	NOX4	0.538
MMP9	NQO1	0.426
MMP9	PPARA	0.47
MMP9	PPARG	0.765
MMP9	PRKCA	0.458
MMP9	PTEN	0.766
MMP9	PTGS2	0.815
MMP9	PXDN	0.755
MMP9	PXDNL	0.755
MMP9	S100B	0.48
MMP9	SCARB2	0.534
MMP9	SIRT1	0.597
MMP9	SOD1	0.43
MMP9	SOD2	0.448
MMP9	SOD2-2	0.421
MMP9	SRC	0.97
MMP9	STAT3	0.89
MMP9	TAC1	0.41
MMP9	TGFB1	0.968
MMP9	TLR2	0.802
MMP9	TLR4	0.934
MMP9	TNF	0.93
MMP9	TP53	0.838
MMP9	TRAF6	0.562
MMP9	TREM2	0.42
MMP9	TXN	0.436
MMP9	XDH	0.564
MPO	MRC1	0.436
MPO	NFE2L2	0.525
MPO	NFKB1	0.518
MPO	NFKBIA	0.575
MPO	NLRP3	0.544
MPO	NOS1	0.436
MPO	NOX1	0.428
MPO	NOX4	0.435
MPO	NQO1	0.666
MPO	PPARG	0.486
MPO	PTGS2	0.641
MPO	SCARB2	0.481
MPO	SOD2	0.407
MPO	SOD2-2	0.407
MPO	STAT3	0.53
MPO	TFRC	0.406
MPO	TGFB1	0.519
MPO	TLR2	0.611
MPO	TLR4	0.728
MPO	TNF	0.832
MPO	TP53	0.46
MPO	TXN	0.402
MPO	XDH	0.647
MRC1	NFKB1	0.467
MRC1	NFKBIA	0.428
MRC1	NLRP3	0.443
MRC1	PPARG	0.73
MRC1	PTGS2	0.514
MRC1	PXDN	0.514
MRC1	PXDNL	0.511
MRC1	PYCARD	0.489
MRC1	SCARB2	0.647
MRC1	STAT3	0.582
MRC1	TGFB1	0.6
MRC1	TLR2	0.638
MRC1	TLR4	0.79
MRC1	TNF	0.79
MRC1	TREM2	0.655
MTOR	NFE2L2	0.637
MTOR	NFKB1	0.76
MTOR	NFKBIA	0.647
MTOR	NGF	0.425
MTOR	NLRP3	0.472
MTOR	NOX4	0.451
MTOR	NTRK2	0.513
MTOR	PIK3C3	0.561
MTOR	PINK1	0.584
MTOR	PPARA	0.68
MTOR	PPARG	0.964
MTOR	PPARGC1A	0.703
MTOR	PRKCA	0.969
MTOR	PRKN	0.781
MTOR	PTEN	0.942
MTOR	PTGS2	0.575
MTOR	PXDN	0.674
MTOR	PXDNL	0.671
MTOR	RET	0.483
MTOR	RIPK1	0.406
MTOR	SCARB2	0.415
MTOR	SIRT1	0.937
MTOR	SIRT3	0.564
MTOR	SNCA	0.483
MTOR	SOD1	0.44
MTOR	SOD2	0.493
MTOR	SOD2-2	0.481
MTOR	SQSTM1	0.953
MTOR	SRC	0.793
MTOR	STAT3	0.926
MTOR	TFAM	0.503
MTOR	TFEB	0.983
MTOR	TGFB1	0.582
MTOR	TLR2	0.444
MTOR	TLR4	0.59
MTOR	TNF	0.671
MTOR	TP53	0.874
MTOR	TRAF2	0.586
MTOR	TRAF6	0.608
MTOR	TREM2	0.508
MTOR	TXN	0.468
MTOR	UCP2	0.404
MTOR	VCP	0.456
MTOR	VDAC1	0.403
MTOR	XBP1	0.551
NCOA4	NFE2L2	0.429
NCOA4	PPARG	0.571
NCOA4	RET	0.993
NCOA4	SLC11A2	0.605
NCOA4	SLC40A1	0.599
NCOA4	SQSTM1	0.503
NCOA4	STAT3	0.576
NCOA4	TFRC	0.618
NCOA4	TP53	0.444
NCOA4	VDAC2	0.475
NDUFA9	NDUFS1	0.999
NDUFA9	OPA1	0.454
NDUFA9	PINK1	0.737
NDUFA9	PPARGC1A	0.476
NDUFA9	SDHB	0.965
NDUFA9	SIRT3	0.976
NDUFA9	SNCA	0.689
NDUFA9	SOD2	0.615
NDUFA9	SOD2-2	0.623
NDUFA9	TARDBP	0.652
NDUFA9	TFAM	0.669
NDUFA9	TOMM20	0.606
NDUFA9	UCP2	0.501
NDUFA9	VDAC1	0.77
NDUFA9	VDAC2	0.539
NDUFS1	PINK1	0.742
NDUFS1	PRDX1	0.407
NDUFS1	PRDX3	0.883
NDUFS1	SDHB	0.996
NDUFS1	SNCA	0.695
NDUFS1	SOD1	0.446
NDUFS1	SOD2	0.688
NDUFS1	SOD2-2	0.687
NDUFS1	TARDBP	0.662
NDUFS1	TFAM	0.655
NDUFS1	TXN	0.461
NDUFS1	VDAC1	0.663
NDUFS1	VDAC2	0.464
NEFL	NGF	0.493
NEFL	NOS1	0.483
NEFL	NOX1	0.4
NEFL	NTRK2	0.436
NEFL	PRNP	0.412
NEFL	PSEN1	0.47
NEFL	RBFOX3	0.588
NEFL	S100B	0.729
NEFL	SLC1A2	0.414
NEFL	SNCA	0.663
NEFL	SNCB	0.492
NEFL	SOD1	0.976
NEFL	SRC	0.49
NEFL	SYN1	0.697
NEFL	SYP	0.566
NEFL	TARDBP	0.791
NEFL	TNF	0.452
NEFL	TREM2	0.538
NEFL	UCHL1	0.688
NFE2L2	NFKB1	0.659
NFE2L2	NFKBIA	0.747
NFE2L2	NLRP3	0.544
NFE2L2	NOX1	0.57
NFE2L2	NOX4	0.644
NFE2L2	NQO1	0.978
NFE2L2	OPTN	0.464
NFE2L2	PARK7	0.969
NFE2L2	PINK1	0.519
NFE2L2	PPARA	0.59
NFE2L2	PPARG	0.831
NFE2L2	PPARGC1A	0.942
NFE2L2	PRDX1	0.894
NFE2L2	PRDX3	0.434
NFE2L2	PRKCA	0.633
NFE2L2	PRKN	0.447
NFE2L2	PSMD4	0.576
NFE2L2	PTEN	0.707
NFE2L2	PTGS2	0.698
NFE2L2	PXDN	0.618
NFE2L2	PXDNL	0.618
NFE2L2	RIPK1	0.602
NFE2L2	SCARB2	0.439
NFE2L2	SIRT1	0.737
NFE2L2	SIRT3	0.503
NFE2L2	SLC1A2	0.493
NFE2L2	SLC40A1	0.441
NFE2L2	SNCA	0.531
NFE2L2	SOD1	0.708
NFE2L2	SOD2	0.701
NFE2L2	SOD2-2	0.693
NFE2L2	SQSTM1	0.95
NFE2L2	SRC	0.432
NFE2L2	STAT3	0.742
NFE2L2	TFAM	0.625
NFE2L2	TFEB	0.442
NFE2L2	TGFB1	0.556
NFE2L2	TLR2	0.408
NFE2L2	TLR4	0.626
NFE2L2	TNF	0.701
NFE2L2	TP53	0.78
NFE2L2	TRAF6	0.4
NFE2L2	TXN	0.741
NFE2L2	UCP2	0.414
NFE2L2	VCP	0.564
NFE2L2	XBP1	0.573
NFE2L2	XDH	0.602
NFKB1	NFKBIA	0.999
NFKB1	NGF	0.711
NFKB1	NLRP3	0.981
NFKB1	NOX1	0.445
NFKB1	NOX4	0.494
NFKB1	NQO1	0.482
NFKB1	NR4A2	0.574
NFKB1	PPARA	0.581
NFKB1	PPARG	0.972
NFKB1	PPARGC1A	0.77
NFKB1	PRDX1	0.644
NFKB1	PRKCA	0.716
NFKB1	PSMD4	0.573
NFKB1	PTEN	0.652
NFKB1	PTGS2	0.842
NFKB1	PXDN	0.631
NFKB1	PXDNL	0.625
NFKB1	PYCARD	0.667
NFKB1	RIPK1	0.895
NFKB1	RIPK3	0.815
NFKB1	S100B	0.575
NFKB1	SCARB2	0.681
NFKB1	SDHB	0.427
NFKB1	SIRT1	0.983
NFKB1	SIRT3	0.441
NFKB1	SOD1	0.503
NFKB1	SOD2	0.56
NFKB1	SOD2-2	0.517
NFKB1	SQSTM1	0.747
NFKB1	SRC	0.756
NFKB1	STAT3	0.962
NFKB1	STUB1	0.577
NFKB1	TARDBP	0.42
NFKB1	TFAM	0.419
NFKB1	TGFB1	0.711
NFKB1	TLR2	0.992
NFKB1	TLR4	0.993
NFKB1	TNF	0.999
NFKB1	TP53	0.989
NFKB1	TRAF2	0.718
NFKB1	TRAF6	0.951
NFKB1	TXN	0.983
NFKB1	VCP	0.655
NFKB1	XBP1	0.676
NFKB1	XDH	0.436
NFKBIA	NGF	0.66
NFKBIA	NLRP3	0.626
NFKBIA	NOX4	0.437
NFKBIA	NQO1	0.477
NFKBIA	PPARA	0.511
NFKBIA	PPARG	0.618
NFKBIA	PRKCA	0.713
NFKBIA	PSMD4	0.553
NFKBIA	PTEN	0.536
NFKBIA	PTGS2	0.856
NFKBIA	PXDN	0.734
NFKBIA	PXDNL	0.734
NFKBIA	PYCARD	0.407
NFKBIA	RIPK1	0.804
NFKBIA	RIPK3	0.717
NFKBIA	SCARB2	0.428
NFKBIA	SIRT1	0.541
NFKBIA	SOD2	0.705
NFKBIA	SOD2-2	0.646
NFKBIA	SQSTM1	0.809
NFKBIA	SRC	0.797
NFKBIA	STAT3	0.741
NFKBIA	TGFB1	0.648
NFKBIA	TLR2	0.749
NFKBIA	TLR4	0.872
NFKBIA	TNF	0.967
NFKBIA	TP53	0.915
NFKBIA	TRAF2	0.761
NFKBIA	TRAF6	0.966
NFKBIA	TXN	0.415
NFKBIA	UCHL1	0.426
NFKBIA	VCP	0.863
NFKBIA	XBP1	0.434
NGF	NOS1	0.437
NGF	NR4A2	0.439
NGF	NTRK2	0.999
NGF	PPARG	0.403
NGF	PSEN1	0.654
NGF	PSEN2	0.567
NGF	PTEN	0.426
NGF	PTGS2	0.526
NGF	PXDN	0.698
NGF	PXDNL	0.683
NGF	RBFOX3	0.601
NGF	RET	0.791
NGF	S100B	0.571
NGF	SLC1A2	0.405
NGF	SLC6A3	0.43
NGF	SNCA	0.538
NGF	SOD1	0.46
NGF	SQSTM1	0.582
NGF	SRC	0.541
NGF	STAT3	0.867
NGF	SYN1	0.543
NGF	SYP	0.649
NGF	TAC1	0.874
NGF	TGFB1	0.753
NGF	TH	0.791
NGF	TLR4	0.463
NGF	TNF	0.714
NGF	TP53	0.532
NGF	TRAF6	0.647
NGF	UCHL1	0.585
NLRP3	NOX4	0.457
NLRP3	NQO1	0.418
NLRP3	PINK1	0.457
NLRP3	PPARG	0.494
NLRP3	PPARGC1A	0.476
NLRP3	PRKN	0.541
NLRP3	PTGS2	0.707
NLRP3	PXDN	0.447
NLRP3	PXDNL	0.447
NLRP3	PYCARD	0.999
NLRP3	RIPK1	0.888
NLRP3	RIPK3	0.772
NLRP3	SCARB2	0.506
NLRP3	SIRT1	0.532
NLRP3	SIRT3	0.424
NLRP3	SOD2	0.426
NLRP3	SOD2-2	0.402
NLRP3	SQSTM1	0.593
NLRP3	SRC	0.53
NLRP3	STAT3	0.558
NLRP3	STUB1	0.419
NLRP3	TGFB1	0.472
NLRP3	TLR2	0.849
NLRP3	TLR4	0.874
NLRP3	TNF	0.869
NLRP3	TP53	0.633
NLRP3	TRAF6	0.567
NLRP3	TREM2	0.404
NLRP3	TXN	0.853
NLRP3	XDH	0.4
NOS1	NOX1	0.622
NOS1	NOX4	0.452
NOS1	NTRK2	0.564
NOS1	PTEN	0.538
NOS1	PTGS2	0.515
NOS1	PXDN	0.51
NOS1	PXDNL	0.51
NOS1	RBFOX3	0.474
NOS1	SOD1	0.667
NOS1	STUB1	0.762
NOS1	SYN1	0.471
NOS1	TAC1	0.543
NOS1	TFAM	0.523
NOS1	TH	0.55
NOS1	TNF	0.53
NOS1	TXN	0.47
NOS1	VDAC1	0.517
NOS1	XDH	0.923
NOX1	NOX4	0.998
NOX1	NQO1	0.664
NOX1	PPARG	0.411
NOX1	PTGS2	0.502
NOX1	PXDN	0.554
NOX1	PXDNL	0.532
NOX1	RIPK1	0.826
NOX1	SIRT1	0.458
NOX1	SOD1	0.734
NOX1	SOD2	0.518
NOX1	SOD2-2	0.518
NOX1	SRC	0.679
NOX1	TGFB1	0.492
NOX1	TLR4	0.476
NOX1	TNF	0.63
NOX1	TP53	0.665
NOX1	TXN	0.575
NOX1	XDH	0.82
NOX4	NQO1	0.534
NOX4	PPARA	0.463
NOX4	PPARG	0.542
NOX4	PPARGC1A	0.524
NOX4	PRDX1	0.401
NOX4	PTEN	0.482
NOX4	PTGS2	0.508
NOX4	PXDN	0.591
NOX4	PXDNL	0.586
NOX4	RIPK3	0.531
NOX4	SIRT1	0.667
NOX4	SIRT3	0.468
NOX4	SOD1	0.602
NOX4	SOD2	0.637
NOX4	SOD2-2	0.637
NOX4	SRC	0.699
NOX4	STAT3	0.465
NOX4	TGFB1	0.675
NOX4	TLR4	0.996
NOX4	TNF	0.609
NOX4	TP53	0.519
NOX4	TXN	0.62
NOX4	UCP2	0.58
NOX4	XDH	0.726
NQO1	PARK7	0.685
NQO1	PPARG	0.475
NQO1	PPARGC1A	0.675
NQO1	PRDX1	0.654
NQO1	PRDX3	0.421
NQO1	PRKN	0.461
NQO1	PTGS2	0.578
NQO1	PXDN	0.6
NQO1	PXDNL	0.591
NQO1	SIRT1	0.537
NQO1	SOD1	0.673
NQO1	SOD2	0.692
NQO1	SOD2-2	0.691
NQO1	SQSTM1	0.592
NQO1	STAT3	0.427
NQO1	STUB1	0.594
NQO1	TGFB1	0.406
NQO1	TLR4	0.433
NQO1	TNF	0.712
NQO1	TP53	0.946
NQO1	TXN	0.819
NQO1	XDH	0.477
NR4A2	PARK7	0.475
NR4A2	PINK1	0.418
NR4A2	PPARGC1A	0.509
NR4A2	PRKN	0.607
NR4A2	PTGS2	0.524
NR4A2	RBFOX3	0.418
NR4A2	SLC18A2	0.802
NR4A2	SLC6A3	0.788
NR4A2	SNCA	0.748
NR4A2	SNCAIP	0.449
NR4A2	TH	0.837
NR4A2	TNF	0.406
NTRK2	PPARGC1A	0.408
NTRK2	PTEN	0.435
NTRK2	RBFOX3	0.627
NTRK2	RET	0.564
NTRK2	S100B	0.435
NTRK2	SLC1A2	0.465
NTRK2	SLC6A3	0.424
NTRK2	SNCA	0.592
NTRK2	SQSTM1	0.61
NTRK2	SRC	0.786
NTRK2	STAT3	0.422
NTRK2	SYN1	0.644
NTRK2	SYP	0.658
NTRK2	TAC1	0.793
NTRK2	TGFB1	0.581
NTRK2	TH	0.58
NTRK2	TNF	0.641
NTRK2	TP53	0.467
NTRK2	TRAF6	0.444
NTRK2	UCHL1	0.412
OPA1	PINK1	0.855
OPA1	PPARGC1A	0.528
OPA1	PRDX3	0.541
OPA1	PRKN	0.757
OPA1	PRNP	0.409
OPA1	PSEN1	0.578
OPA1	PSEN2	0.469
OPA1	SIRT3	0.763
OPA1	SOD1	0.459
OPA1	TFAM	0.608
OPA1	TOMM20	0.582
OPA1	VDAC1	0.55
OPTN	PIK3C3	0.561
OPTN	PINK1	0.894
OPTN	PRKN	0.811
OPTN	RAB10	0.809
OPTN	RIPK1	0.971
OPTN	SNCA	0.481
OPTN	SOD1	0.937
OPTN	SQSTM1	0.994
OPTN	TARDBP	0.954
OPTN	TFEB	0.444
OPTN	TFRC	0.921
OPTN	TNF	0.906
OPTN	TOMM20	0.562
OPTN	TP53	0.497
OPTN	TRAF2	0.711
OPTN	TRAF6	0.403
OPTN	VCP	0.805
OPTN	VDAC1	0.461
PARK7	PINK1	0.999
PARK7	PLA2G6	0.815
PARK7	PPARGC1A	0.551
PARK7	PRDX1	0.717
PARK7	PRDX3	0.746
PARK7	PRKN	0.999
PARK7	PRNP	0.609
PARK7	PSEN1	0.54
PARK7	PSEN2	0.476
PARK7	PTEN	0.92
PARK7	PXDN	0.411
PARK7	SDHB	0.665
PARK7	SLC18A2	0.668
PARK7	SLC6A3	0.634
PARK7	SNCA	0.994
PARK7	SNCAIP	0.705
PARK7	SNCB	0.472
PARK7	SOD1	0.997
PARK7	SOD2	0.923
PARK7	SOD2-2	0.923
PARK7	SQSTM1	0.737
PARK7	STUB1	0.82
PARK7	SYP	0.729
PARK7	TARDBP	0.559
PARK7	TFAM	0.452
PARK7	TH	0.659
PARK7	TMEM230	0.557
PARK7	TOMM20	0.464
PARK7	TP53	0.814
PARK7	TRAF6	0.747
PARK7	TXN	0.609
PARK7	UCHL1	0.848
PARK7	VCP	0.772
PARK7	VDAC1	0.934
PARK7	VDAC2	0.471
PARK7	VPS35	0.843
PIK3C3	PINK1	0.683
PIK3C3	PRKN	0.677
PIK3C3	PSMD4	0.703
PIK3C3	PTEN	0.953
PIK3C3	SIRT1	0.43
PIK3C3	SQSTM1	0.812
PIK3C3	TFEB	0.652
PIK3C3	TP53	0.544
PIK3C3	TRAF6	0.648
PIK3C3	VPS35	0.842
PINK1	PLA2G6	0.8
PINK1	PPARG	0.401
PINK1	PPARGC1A	0.76
PINK1	PPIF	0.505
PINK1	PRDX3	0.771
PINK1	PRKN	0.999
PINK1	PRNP	0.414
PINK1	PSEN1	0.665
PINK1	PSEN2	0.568
PINK1	PTEN	0.735
PINK1	PXDN	0.438
PINK1	PXDNL	0.436
PINK1	RAB10	0.404
PINK1	RAB29	0.5
PINK1	SIRT1	0.7
PINK1	SIRT3	0.661
PINK1	SLC18A2	0.47
PINK1	SLC6A3	0.697
PINK1	SNCA	0.975
PINK1	SNCAIP	0.757
PINK1	SNCB	0.444
PINK1	SOD1	0.651
PINK1	SOD2	0.61
PINK1	SOD2-2	0.61
PINK1	SQSTM1	0.979
PINK1	STAT3	0.449
PINK1	STUB1	0.438
PINK1	TARDBP	0.609
PINK1	TFAM	0.81
PINK1	TFEB	0.609
PINK1	TH	0.631
PINK1	TMEM230	0.529
PINK1	TNF	0.401
PINK1	TOMM20	0.985
PINK1	TP53	0.507
PINK1	TRAF6	0.853
PINK1	TXN	0.401
PINK1	UCHL1	0.788
PINK1	UCP2	0.505
PINK1	VCP	0.775
PINK1	VDAC1	0.963
PINK1	VDAC2	0.467
PINK1	VPS35	0.854
PINK1	XBP1	0.412
PLA2G6	PRKCA	0.903
PLA2G6	PRKN	0.68
PLA2G6	PTGS2	0.773
PLA2G6	SLC6A3	0.424
PLA2G6	SNCA	0.66
PLA2G6	TMEM230	0.571
PLA2G6	UCHL1	0.704
PLA2G6	VPS35	0.773
PPARA	PPARG	0.647
PPARA	PPARGC1A	0.999
PPARA	PPIF	0.761
PPARA	PRKCA	0.524
PPARA	PTEN	0.464
PPARA	PTGS2	0.729
PPARA	PXDN	0.568
PPARA	PXDNL	0.568
PPARA	SCARB2	0.909
PPARA	SIRT1	0.906
PPARA	SIRT3	0.598
PPARA	SOD1	0.479
PPARA	SOD2	0.494
PPARA	SOD2-2	0.493
PPARA	SRC	0.608
PPARA	STAT3	0.573
PPARA	TFAM	0.635
PPARA	TFEB	0.603
PPARA	TGFB1	0.565
PPARA	TH	0.494
PPARA	TLR2	0.465
PPARA	TLR4	0.634
PPARA	TNF	0.81
PPARA	TP53	0.541
PPARA	UCP2	0.821
PPARA	XBP1	0.462
PPARA	XDH	0.612
PPARG	PPARGC1A	0.999
PPARG	PRKCA	0.808
PPARG	PTEN	0.83
PPARG	PTGS2	0.735
PPARG	PXDN	0.661
PPARG	PXDNL	0.661
PPARG	RET	0.587
PPARG	SCARB2	0.862
PPARG	SIRT1	0.998
PPARG	SIRT3	0.594
PPARG	SOD1	0.511
PPARG	SOD2	0.541
PPARG	SOD2-2	0.538
PPARG	SRC	0.736
PPARG	STAT3	0.826
PPARG	STUB1	0.489
PPARG	TFAM	0.684
PPARG	TFEB	0.475
PPARG	TGFB1	0.922
PPARG	TH	0.428
PPARG	TLR2	0.59
PPARG	TLR4	0.738
PPARG	TNF	0.807
PPARG	TP53	0.949
PPARG	TXN	0.451
PPARG	UCP2	0.859
PPARG	VDAC1	0.41
PPARG	XBP1	0.46
PPARG	XDH	0.481
PPARGC1A	PPIF	0.575
PPARGC1A	PRDX3	0.42
PPARGC1A	PRKN	0.681
PPARGC1A	PTEN	0.491
PPARGC1A	PTGS2	0.521
PPARGC1A	PXDN	0.615
PPARGC1A	PXDNL	0.615
PPARGC1A	RBFOX3	0.405
PPARGC1A	SCARB2	0.674
PPARGC1A	SDHB	0.559
PPARGC1A	SIRT1	0.999
PPARGC1A	SIRT3	0.98
PPARGC1A	SNCA	0.562
PPARGC1A	SOD1	0.958
PPARGC1A	SOD2	0.973
PPARGC1A	SOD2-2	0.741
PPARGC1A	SQSTM1	0.508
PPARGC1A	SRC	0.549
PPARGC1A	STAT3	0.538
PPARGC1A	STUB1	0.607
PPARGC1A	TARDBP	0.44
PPARGC1A	TFAM	0.988
PPARGC1A	TFEB	0.609
PPARGC1A	TGFB1	0.484
PPARGC1A	TH	0.433
PPARGC1A	TLR4	0.531
PPARGC1A	TNF	0.646
PPARGC1A	TOMM20	0.603
PPARGC1A	TP53	0.887
PPARGC1A	TXN	0.481
PPARGC1A	UCP2	0.928
PPARGC1A	VDAC1	0.623
PPARGC1A	XBP1	0.466
PPARGC1A	XDH	0.425
PPIF	PXDN	0.52
PPIF	PXDNL	0.52
PPIF	RIPK1	0.548
PPIF	RIPK3	0.569
PPIF	SIRT1	0.448
PPIF	SIRT3	0.654
PPIF	SOD1	0.499
PPIF	SOD2	0.791
PPIF	SOD2-2	0.782
PPIF	STAT3	0.702
PPIF	TFAM	0.807
PPIF	TNF	0.408
PPIF	TOMM20	0.476
PPIF	TP53	0.993
PPIF	TXN	0.448
PPIF	VDAC1	0.999
PPIF	VDAC2	0.958
PRDX1	PRDX3	0.689
PRDX1	PRKN	0.43
PRDX1	PRNP	0.442
PRDX1	PSEN1	0.512
PRDX1	PTEN	0.781
PRDX1	PXDN	0.444
PRDX1	PXDNL	0.425
PRDX1	SDHB	0.427
PRDX1	SOD1	0.876
PRDX1	SOD2	0.745
PRDX1	SOD2-2	0.744
PRDX1	TLR2	0.469
PRDX1	TLR4	0.693
PRDX1	TNF	0.554
PRDX1	TP53	0.723
PRDX1	TXN	0.99
PRDX1	VCP	0.404
PRDX1	VDAC1	0.669
PRDX1	VDAC2	0.427
PRDX3	PRKN	0.634
PRDX3	PXDN	0.432
PRDX3	PXDNL	0.419
PRDX3	SDHB	0.583
PRDX3	SIRT1	0.53
PRDX3	SIRT3	0.46
PRDX3	SNCA	0.66
PRDX3	SNCAIP	0.557
PRDX3	SOD1	0.667
PRDX3	SOD2	0.804
PRDX3	SOD2-2	0.804
PRDX3	SQSTM1	0.405
PRDX3	TFAM	0.517
PRDX3	TXN	0.846
PRDX3	VDAC1	0.841
PRDX3	VDAC2	0.709
PRKCA	PTEN	0.486
PRKCA	PTGS2	0.626
PRKCA	PXDN	0.475
PRKCA	PXDNL	0.472
PRKCA	RET	0.551
PRKCA	SCARB2	0.579
PRKCA	SLC1A2	0.485
PRKCA	SLC6A3	0.913
PRKCA	SRC	0.867
PRKCA	STAT3	0.644
PRKCA	TGFB1	0.422
PRKCA	TLR4	0.445
PRKCA	TNF	0.676
PRKCA	TP53	0.7
PRKCA	TXN	0.468
PRKCA	VCP	0.43
PRKN	PRNP	0.412
PRKN	PSEN1	0.759
PRKN	PSEN2	0.565
PRKN	PSMD4	0.968
PRKN	PTEN	0.641
PRKN	RAB29	0.418
PRKN	RIPK1	0.482
PRKN	RIPK3	0.892
PRKN	SIRT1	0.519
PRKN	SIRT3	0.442
PRKN	SLC11A2	0.504
PRKN	SLC18A2	0.69
PRKN	SLC6A3	0.839
PRKN	SNCA	0.999
PRKN	SNCAIP	0.999
PRKN	SNCB	0.594
PRKN	SOD1	0.62
PRKN	SOD2	0.543
PRKN	SOD2-2	0.543
PRKN	SQSTM1	0.987
PRKN	SRC	0.541
PRKN	STUB1	0.946
PRKN	SYN1	0.466
PRKN	TARDBP	0.984
PRKN	TFAM	0.823
PRKN	TFEB	0.538
PRKN	TFRC	0.458
PRKN	TH	0.764
PRKN	TMEM230	0.515
PRKN	TOMM20	0.749
PRKN	TP53	0.76
PRKN	TRAF2	0.793
PRKN	TRAF6	0.705
PRKN	TXN	0.536
PRKN	UCHL1	0.96
PRKN	VCP	0.928
PRKN	VDAC1	0.979
PRKN	VDAC2	0.867
PRKN	VPS35	0.932
PRKN	XBP1	0.427
PRNP	PSEN1	0.822
PRNP	PSEN2	0.771
PRNP	PSMD4	0.68
PRNP	PXDN	0.454
PRNP	PXDNL	0.449
PRNP	RBFOX3	0.401
PRNP	SLC11A2	0.537
PRNP	SNCA	0.984
PRNP	SNCB	0.575
PRNP	SOD1	0.74
PRNP	SYN1	0.559
PRNP	SYP	0.588
PRNP	TARDBP	0.88
PRNP	TNF	0.644
PRNP	TREM2	0.416
PRNP	VCP	0.461
PSEN1	PSEN2	0.999
PSEN1	PXDN	0.462
PSEN1	PXDNL	0.454
PSEN1	RBFOX3	0.479
PSEN1	SIRT1	0.446
PSEN1	SLC1A2	0.591
PSEN1	SNCA	0.865
PSEN1	SNCB	0.41
PSEN1	SOD1	0.572
PSEN1	SQSTM1	0.479
PSEN1	STUB1	0.516
PSEN1	SYN1	0.427
PSEN1	SYP	0.62
PSEN1	TARDBP	0.702
PSEN1	TNF	0.489
PSEN1	TRAF6	0.866
PSEN1	TREM2	0.853
PSEN1	UCHL1	0.597
PSEN1	VCP	0.489
PSEN1	VDAC1	0.449
PSEN1	VPS35	0.485
PSEN2	SNCA	0.602
PSEN2	SNCB	0.531
PSEN2	SOD1	0.477
PSEN2	TARDBP	0.634
PSEN2	TRAF6	0.721
PSEN2	TREM2	0.752
PSEN2	VCP	0.45
PSEN2	VPS35	0.416
PSMD4	PTEN	0.606
PSMD4	SNCA	0.726
PSMD4	SOD1	0.8
PSMD4	SQSTM1	0.759
PSMD4	STUB1	0.89
PSMD4	TNF	0.513
PSMD4	TP53	0.88
PSMD4	TRAF2	0.41
PSMD4	VCP	0.931
PTEN	PTGS2	0.682
PTEN	PXDN	0.691
PTEN	PXDNL	0.682
PTEN	RET	0.683
PTEN	SDHB	0.668
PTEN	SIRT1	0.757
PTEN	SIRT3	0.558
PTEN	SLC11A2	0.458
PTEN	SNCA	0.427
PTEN	SOD2	0.439
PTEN	SOD2-2	0.432
PTEN	SQSTM1	0.466
PTEN	SRC	0.837
PTEN	STAT3	0.794
PTEN	STUB1	0.904
PTEN	SYP	0.414
PTEN	TGFB1	0.664
PTEN	TLR4	0.535
PTEN	TNF	0.638
PTEN	TP53	0.999
PTEN	TRAF6	0.484
PTEN	TXN	0.661
PTGS2	SCARB2	0.479
PTGS2	SIRT1	0.592
PTGS2	SNCA	0.428
PTGS2	SOD1	0.523
PTGS2	SOD2	0.547
PTGS2	SOD2-2	0.513
PTGS2	SQSTM1	0.509
PTGS2	SRC	0.778
PTGS2	STAT3	0.93
PTGS2	TAC1	0.68
PTGS2	TGFB1	0.688
PTGS2	TH	0.413
PTGS2	TLR2	0.756
PTGS2	TLR4	0.787
PTGS2	TNF	0.916
PTGS2	TP53	0.974
PTGS2	TRAF6	0.493
PTGS2	TXN	0.452
PTGS2	XDH	0.704
PXDN	PXDNL	0.981
PXDN	RBFOX3	0.737
PXDN	S100B	0.447
PXDN	SCARB2	0.51
PXDN	SDHB	0.533
PXDN	SIRT1	0.639
PXDN	SIRT3	0.457
PXDN	SLC6A3	0.409
PXDN	SNCA	0.57
PXDN	SOD1	0.614
PXDN	SOD2	0.598
PXDN	SOD2-2	0.597
PXDN	SQSTM1	0.612
PXDN	SRC	0.675
PXDN	STAT3	0.824
PXDN	STUB1	0.405
PXDN	SYN1	0.491
PXDN	SYP	0.681
PXDN	TAC1	0.576
PXDN	TARDBP	0.439
PXDN	TFAM	0.474
PXDN	TFRC	0.609
PXDN	TGFB1	0.725
PXDN	TH	0.743
PXDN	TNF	0.8
PXDN	TOMM20	0.535
PXDN	TP53	0.821
PXDN	TRAF6	0.486
PXDN	TXN	0.614
PXDN	UCHL1	0.466
PXDN	UCP2	0.416
PXDN	VDAC1	0.588
PXDN	XBP1	0.528
PXDN	XDH	0.723
